latitud,provincia,altitud,idema,nombre,indsinop,longitud
394924N,ILLES BALEARS,490,B013X,"ESCORCA, LLUC",08304,025309E
394744N,ILLES BALEARS,5,B051A,"SÓLLER, PUERTO",08316,024129E
394121N,ILLES BALEARS,60,B087X,BANYALBUFAR,,023046E
393445N,ILLES BALEARS,52,B103B,ANDRATX - SANT ELM,99103,022208E
393305N,ILLES BALEARS,50,B158X,"CALVIÀ, ES CAPDELLÀ",,022759E
393319N,ILLES BALEARS,3,B228,"PALMA, PUERTO",08301,023731E
393832N,ILLES BALEARS,95,B236C,"PALMA, UNIVERSIDAD",,023837E
394406N,ILLES BALEARS,1030,B248,"SIERRA DE ALFABIA, BUNYOLA",08303,024247E
393621N,BALEARES,49,B275E,"SON BONET, AEROPUERTO",08302,024224E
393339N,ILLES BALEARS,8,B278,"PALMA DE MALLORCA, AEROPUERTO",08306,024412E
392247N,ILLES BALEARS,113,B301,"LLUCMAJOR, CAP BLANC",08308,024706E
392944N,ILLES BALEARS,140,B334X,LLUCMAJOR,,025330E
393022N,BALEARES,149,B341X,PORRERES,,030020E
393118N,ILLES BALEARS,120,B346X,PORRERES,08310,030109E
392421N,ILLES BALEARS,40,B362X,"CAMPOS, CAN SION",,030351E
392104N,ILLES BALEARS,3,B373X,"CAMPOS, SALINES LLEVANT",,030043E
390808N,ILLES BALEARS,165,B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",,025612E
392024N,ILLES BALEARS,45,B410B,SANTANYÍ,,030845E
392452N,ILLES BALEARS,17,B434X,PORTOCOLOM  ,08309,031618E
393749N,ILLES BALEARS,25,B496X,SON SERVERA,,032301E
394119N,ILLES BALEARS,110,B526X,ARTÀ,,032104E
394300N,ILLES BALEARS,57,B569X,CAPDEPERA,08311,032841E
394323N,ILLES BALEARS,99,B603X,ARTÀ-COLÒNIA DE SANT PERE,,031643E
394748N,ILLES BALEARS,2,B605X,"MURO, S'ALBUFERA",,030617E
393325N,ILLES BALEARS,95,B614E,MANACOR,,031304E
393659N,ILLES BALEARS,95,B640X,PETRA,,030716E
393836N,ILLES BALEARS,120,B644B,SINEU,,030008E
393909N,ILLES BALEARS,121,B656A,SANTA MARÍA DEL CAMÍ,,024801E
394041N,ILLES BALEARS,105,B662X,BINISSALEM,,025226E
394734N,ILLES BALEARS,842,B684A,"ESCORCA, SON TORRELLA",,024716E
394454N,BALEARES,40,B691,LA PUEBLA (SA CANOVA),,030055E
394457N,ILLES BALEARS,40,B691Y,SA POBLA,08312,030100E
395237N,ILLES BALEARS,35,B760X,POLLENÇA,,030127E
395434N,ILLES BALEARS,2,B780X,PORT DE POLLENÇA,,030601E
395234N,ILLES BALEARS,78,B800X,"LA MOLA, MAÓ",,041926E
395926N,ILLES BALEARS,80,B825B,ES MERCADAL,,040511E
395934N,ILLES BALEARS,20,B860X,CIUTADELLA,,035114E
395641N,ILLES BALEARS,43,B870C,"CIUTADELLA, CALA GALDANA",,035724E
395117N,ILLES BALEARS,91,B893,"MENORCA, AEROPUERTO",08314,041256E
390322N,ILLES BALEARS,110,B908X,SANT JOAN DE LABRITJA,,012933E
385747N,ILLES BALEARS,32,B925,SANT ANTONI DE PORTMANY,,011917E
385235N,ILLES BALEARS,6,B954,"IBIZA, AEROPUERTO",08373,012304E
385521N,ILLES BALEARS,3,B957,EIVISSA,,012629E
384137N,ILLES BALEARS,24,B986,FORMENTERA,,012749E
285806N,LAS PALMAS,376,C018J,TÍAS,,134129W
285127N,LAS PALMAS,6,C019V,YAIZA,,135010W
285707N,LAS PALMAS,14,C029O,LANZAROTE AEROPUERTO,60040,133601W
290837N,LAS PALMAS,277,C038N,HARÍA,,132921W
290233N,LAS PALMAS,275,C048W,TINAJO,,134051W
284521N,STA. CRUZ DE TENERIFE,2223,C101A,ROQUE DE LOS MUCHACHOS,,175343W
284539N,STA. CRUZ DE TENERIFE,684,C117A,PUNTAGORDA,,175908W
284029N,STA. CRUZ DE TENERIFE,733,C117Z,TIJARAFE,,175613W
283914N,STA. CRUZ DE TENERIFE,844,C126A,EL PASO,,175112W
282718N,STA. CRUZ DE TENERIFE,30,C129V,FUENCALIENTE,,175028W
283545N,STA. CRUZ DE TENERIFE,62,C129Z,TAZACORTE,60004,175455W
283759N,STA. CRUZ DE TENERIFE,33,C139E,LA PALMA AEROPUERTO,60005,174518W
284818N,STA. CRUZ DE TENERIFE,362,C148F,SAN ANDRÉS Y SAUCES,,174657W
280257N,LAS PALMAS,15,C229J,PÁJARA,60034,142129W
281231N,LAS PALMAS,1,C239N,"TUINEJE,PUERTO GRAN TARAJAL",,140123W
282502N,LAS PALMAS,252,C248E,ANTIGUA,,140110W
282641N,LAS PALMAS,25,C249I,FUERTEVENTURA AEROPUERTO,60035,135147W
283645N,LAS PALMAS,217,C258K,LA OLIVA,,135555W
280625N,STA. CRUZ DE TENERIFE,1475,C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",,171457W
280742N,STA. CRUZ DE TENERIFE,916,C316I,ARURE,,171854W
281044N,STA. CRUZ DE TENERIFE,765,C317B,AGULO,,171247W
280316N,STA. CRUZ DE TENERIFE,190,C319W,"VALLEHERMOSO, DAMA",,171824W
280949N,STA. CRUZ DE TENERIFE,252,C328W,HERMIGUA,,171139W
280154N,STA. CRUZ DE TENERIFE,219,C329B,"LA GOMERA, AEROPUERTO",60007,171239W
280523N,STA. CRUZ DE TENERIFE,15,C329Z,SAN SEBASTIÁN DE LA GOMERA,60008,170641W
281327N,STA. CRUZ DE TENERIFE,2150,C406G,"LA OROTAVA, CAÑADAS TEIDE",,163735W
281311N,STA. CRUZ DE TENERIFE,2071,C412N,CITFAGRO_89_CHAVAO,,164219W
281819N,STA. CRUZ DE TENERIFE,990,C415A,CITFAGRO_64_HOYOS,,164820W
281400N,STA. CRUZ DE TENERIFE,735,C417J,CITFAGRO_74_CHIO,,164721W
281252N,STA. CRUZ DE TENERIFE,476,C418I,CITFAGRO_05_GUIAISO1,,164723W
281201N,STA. CRUZ DE TENERIFE,700,C418L,CITFAGRO_76_POZO,,164547W
281225N,STA. CRUZ DE TENERIFE,403,C419L,LOMO DEL BALO,,164731W
280453N,STA. CRUZ DE TENERIFE,130,C419X,ADEJE,,164240W
281019N,STA. CRUZ DE TENERIFE,1833,C422A,CITFAGRO_94_LOSTOPOS,,163905W
281327N,STA. CRUZ DE TENERIFE,1654,C423R,CITFAGRO_90_PICACHO,,163116W
280839N,STA. CRUZ DE TENERIFE,1258,C426E,CITFAGRO_13_VILAFLOR,,163741W
280737N,STA. CRUZ DE TENERIFE,880,C426I,CITFAGRO_77_PINAL,,163621W
281301N,STA. CRUZ DE TENERIFE,930,C426R,CITFAGRO_09_HELECHO,,162926W
281052N,STA. CRUZ DE TENERIFE,418,C428T,ARICO,,162901W
280752N,STA. CRUZ DE TENERIFE,135,C428U,CITFAGRO_01_ARICO,,162821W
280249N,STA. CRUZ DE TENERIFE,64,C429I,TENERIFE SUR AEROPUERTO,60025,163340W
281832N,STA. CRUZ DE TENERIFE,2369,C430E,IZAÑA,60010,162958W
281935N,STA. CRUZ DE TENERIFE,290,C436I,CITFAGRO_54_TOPONEGRO,,162420W
282214N,STA. CRUZ DE TENERIFE,525,C436L,CITFAGRO_96_ARAYA,,162351W
281611N,STA. CRUZ DE TENERIFE,500,C437E,CITFAGRO_81_MENA,,162511W
282132N,STA. CRUZ DE TENERIFE,463,C438N,CANDELARIA,,162405W
281906N,STA. CRUZ DE TENERIFE,115,C439J,GÜÍMAR,60018,162256W
283136N,STA. CRUZ DE TENERIFE,868,C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",,161650W
282839N,STA. CRUZ DE TENERIFE,632,C447A,TENERIFE NORTE AEROPUERTO,60015,161946W
282745N,STA. CRUZ DE TENERIFE,136,C448C,CITFAGRO_92_SANTACRUZ,,161624W
282748N,STA. CRUZ DE TENERIFE,36,C449C,STA. CRUZ DE TENERIFE,60020,161519W
283029N,STA. CRUZ DE TENERIFE,19,C449F,ANAGA ,,161144W
283336N,STA. CRUZ DE TENERIFE,305,C449Q,CITFAGRO_97_TAGANANA,,161341W
282341N,STA. CRUZ DE TENERIFE,1744,C453I,CITFAGRO_88_GAITERO,,162600W
282142N,STA. CRUZ DE TENERIFE,1065,C455M,CITFAGRO_87_AGUAMANSA,,162949W
282714N,STA. CRUZ DE TENERIFE,922,C456E,CITFAGRO_10_RAVELO,,162431W
282141N,STA. CRUZ DE TENERIFE,906,C456P,CITFAGRO_70_BENIJO,,163248W
282222N,STA. CRUZ DE TENERIFE,551,C456R,CITFAGRO_69_SUERTE,,163231W
282658N,STA. CRUZ DE TENERIFE,650,C457E,CITFAGRO_67_MATANZA,,162617W
282605N,STA. CRUZ DE TENERIFE,567,C457I,LA VICTORIA DE ACENTEJO,,162717W
282947N,STA. CRUZ DE TENERIFE,310,C458A,TACORONTE,,162512W
282207N,STA. CRUZ DE TENERIFE,595,C458U,CITFAGRO_71_PALOB,,163441W
282505N,STA. CRUZ DE TENERIFE,25,C459Z,PUERTO DE LA CRUZ,60012,163253W
282021N,STA. CRUZ DE TENERIFE,878,C466O,CITFAGRO_91_CUBO,,164740W
282112N,STA. CRUZ DE TENERIFE,525,C467I,CITFAGRO_73_REDON,,164230W
282201N,STA. CRUZ DE TENERIFE,218,C468I,CITFAGRO_98_ELDRAGO,,164320W
282125N,STA. CRUZ DE TENERIFE,450,C468O,CITFAGRO_62_TRIGO,,164805W
282223N,STA. CRUZ DE TENERIFE,677,C468X,SAN JUAN DE LA RAMBLA,,163733W
275838N,LAS PALMAS,1702,C611E,VEGA DE SAN MATEO,,153502W
280025N,LAS PALMAS,1514,C612F,"TEJEDA, CRUZ DE TEJEDA",,153556W
275943N,LAS PALMAS,1060,C614H,TEJEDA,60038,153657W
280003N,LAS PALMAS,10,C619I,LA ALDEA DE SAN NICOLÁS,60027,154850W
280604N,LAS PALMAS,5,C619X,AGAETE,,154246W
280004N,LAS PALMAS,13,C619Y,LA ALDEA DE SAN NICOLÁS,60027,154827W
275536N,LAS PALMAS,1220,C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",,153600W
275125N,LAS PALMAS,806,C625O,"SAN BARTOLOME TIRAJANA, LOMOS PEDRO AFONSO",,153842W
275432N,LAS PALMAS,318,C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",,154612W
274648N,LAS PALMAS,10,C629Q,"MOGÁN, PUERTO RICO",,154240W
274859N,LAS PALMAS,10,C629X,"MOGÁN, PUERTO",60036,154551W
275512N,LAS PALMAS,960,C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",,153427W
274529N,LAS PALMAS,45,C639M,"MASPALOMAS, C. INSULAR TURISMO ",,153432W
274845N,LAS PALMAS,41,C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",,152712W
275409N,LAS PALMAS,306,C648C,AGÜIMES,,152714W
275915N,LAS PALMAS,344,C648N,"TELDE, CENTRO FORESTAL DORAMAS",,152728W
275504N,LAS PALMAS,24,C649I,GRAN CANARIA AEROPUERTO,60030,152343W
275913N,LAS PALMAS,9,C649R,"TELDE, MELENARA",,152240W
280431N,LAS PALMAS,683,C656V,TEROR,,153250W
280430N,LAS PALMAS,269,C658L,LAS PALMAS DE G.C. (TAFIRA CMT),,152703W
280441N,LAS PALMAS,269,C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",,152712W
280523N,LAS PALMAS,55,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",60029,152458W
280647N,LAS PALMAS,15,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",60032,152517W
280358N,LAS PALMAS,900,C665T,VALLESECO,,153357W
280540N,LAS PALMAS,352,C668V,AGAETE - SUERTE ALTA,,154030W
280830N,LAS PALMAS,86,C669B,ARUCAS,,153025W
274409N,LAS PALMAS,6,C689E,MASPALOMAS,60037,153545W
291355N,LAS PALMAS,10,C839I,TEGUISE,,133007W
291346N,LAS PALMAS,19,C839X,LA GRACIOSA,60045,133037W
274308N,STA. CRUZ DE TENERIFE,948,C916Q,"EL PINAR, DEPÓSITO",,175841W
274331N,STA. CRUZ DE TENERIFE,715,C917E,"EL PINAR, LA DEHESA",,180654W
273955N,STA. CRUZ DE TENERIFE,98,C919K,TACORON-LAPILLAS-TORTUGA,,180107W
274607N,STA. CRUZ DE TENERIFE,1070,C925F,"SAN ANDRÉS, VALVERDE",,175736W
274839N,STA. CRUZ DE TENERIFE,670,C928I,VALVERDE,,175510W
274908N,STA. CRUZ DE TENERIFE,32,C929I,HIERRO AEROPUERTO,60001,175320W
274523N,STA. CRUZ DE TENERIFE,20,C939T,"FRONTERA, SABINOSA",,180624W
405729N,TARRAGONA,32,0002I,VANDELLÒS  ,08169,005217E
411250N,TARRAGONA,406,0009X,ALFORJA,,005748E
410842N,TARRAGONA,71,0016A,REUS AEROPUERTO,08175,010949E
410915N,TARRAGONA,118,0016B,REUS (CENTRE LECTURA),,010632E
411735N,TARRAGONA,233,0034X,VALLS,,011539E
410726N,TARRAGONA,55,0042Y,TARRAGONA ,,011457E
412501N,BARCELONA,632,0061X,PONTONS,,013109E
411949N,BARCELONA,177,0066X,VILAFRANCA DEL PENEDÈS,,014037E
411438N,BARCELONA,58,0073X,SITGES,,015109E
411734N,BARCELONA,4,0076,BARCELONA AEROPUERTO,08181,020412E
420605N,BARCELONA,682,0092X,BERGA,,015127E
415159N,BARCELONA,361,0106X,BALSARENY,,015221E
420025N,BARCELONA,700,0114X,PRATS DE LLUÇANÈS,,020136E
414848N,BARCELONA,742,0120X,MOIÀ,,020543E
414312N,BARCELONA,291,0149D,MANRESA (LA CULLA),,015025E
414312N,BARCELONA,291,0149X,MANRESA,08174,015025E
413540N,BARCELONA,738,0158O,MONTSERRAT,,015021E
413540N,BARCELONA,738,0158X,MONISTROL DE MONTSERRAT,,015021E
413444N,BARCELONA,313,0171X,IGUALADA,08172,013704E
412429N,BARCELONA,647,0194D,"CORBERA, PIC D'AGULLES",08179,015306E
412506N,BARCELONA,408,0200E,"BARCELONA, FABRA",,020727E
412326N,BARCELONA,26,0201D,BARCELONA,08180,021200E
412230N,BARCELONA,11,0201X,"BARCELONA, MUSEO MARÍTIMO",,021026E
413646N,BARCELONA,175,0222X,CALDES DE MONTBUI,,021006E
413125N,BARCELONA,146,0229I,SABADELL AEROPUERTO,08192,020611E
413018N,BARCELONA,56,0244X,VILASSAR DE DALT,,022145E
413515N,BARCELONA,74,0252D,ARENYS DE MAR,08186,023224E
413903N,BARCELONA,40,0255B,SANTA SUSANNA,08188,024149E
414536N,BARCELONA,936,0260X,FOGARS DE MONTCLÚS,,022552E
414037N,GIRONA,45,0281Y,BLANES,,024818E
414828N,GIRONA,14,0284X,"CASTELL, PLATJA D'ARO ",,030151E
415804N,GIRONA,51,0294B,LA BISBAL (D'EMPORDA 3),,030232E
421530N,GIRONA,851,0312X,SANT PAU DE SEGÚRIES,,022152E
421901N,GIRONA,1151,0320I,PLANOLES,,020610E
421322N,GIRONA,731,0321,CAMPDEVANOL,,021002E
421129N,GIRONA,675,0324A,RIPOLL,08118,021146E
415048N,BARCELONA,611,0341,TONA (ESCOLA),,021336E
415049N,BARCELONA,607,0341X,TONA,,021321E
415534N,BARCELONA,578,0349,SANT JULIÀ  DE VILATORTA,08119,021903E
420310N,GIRONA,322,0360X,LES PLANES D'HOSTOLES,,023304E
415251N,GIRONA,810,0363X,SANT HILARI,,023048E
415442N,GIRONA,143,0367,GIRONA AEROPUERTO,08184,024548E
415848N,GIRONA,95,0370B,"GIRONA, ANTIC INSTITUT",,024931E
415820N,GIRONA,76,0370E,GIRONA,,024910E
420616N,GIRONA,157,0372C,PORQUERES,08120,024549E
420314N,GIRONA,1,0385X,L'ESTARTIT,,031205E
421238N,GIRONA,350,0394X,LA VALL DE BIANYA,,022819E
421329N,GIRONA,2,0411X,CASTELLÓ D'EMPÚRIES,,030535E
422313N,GIRONA,355,0413A,MAÇANET DE CABRENYS,,024520E
422324N,GIRONA,100,0421E,ESPOLLA 'LES ALBERES',,030022E
422324N,GIRONA,100,0421X,ESPOLLA,,030022E
421533N,GIRONA,45,0429X,FIGUERES,,025737E
421909N,GIRONA,75,0433D,CABO DE CREUS,08121,031856E
430809N,NAVARRA,183,1002Y,"BAZTAN, IRURITA ",08030,013235W
431643N,NAVARRA,54,1010X,BERA,,014033W
431935N,GIPUZKOA,120,1012P,IRUN,,014748W
432125N,GIPUZKOA,4,1014,"HONDARRIBIA, MALKARROA",08029,014732W
432125N,GIPUZKOA,4,1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,08029,014732W
431247N,GIPUZKOA,165,1021X,"ERRENTERIA, AÑARBE",,015244W
431244N,NAVARRA,305,1021Y,ARTICUTZA (AUTOMATICA),,014752W
431823N,GIPUZKOA,250,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",08027,020228W
430056N,GIPUZKOA,255,1025A,SEGURA,,021524W
430317N,GIPUZKOA,255,1025X,"BEASAIN, ARRIARAN",,021355W
430329N,GIPUZKOA,290,1026X,ORDIZIA,,021103W
430506N,NAVARRA,520,1033X,ARESO,,015703W
430306N,GIPUZKOA,460,1037X,LEGAZPI,,022013W
430448N,GIPUZKOA,420,1037Y,ZUMARRAGA,08037,021903W
431021N,GIPUZKOA,180,1038X,AZPEITIA,,021602W
431808N,GIPUZKOA,28,1041A,ZUMAIA,08026,021504W
430328N,ARABA/ALAVA,617,1044X,"ARAMAIO, ETXAGUEN",,023522W
430130N,GIPUZKOA,308,1048X,ARETXABALETA,,022756W
430818N,GIPUZKOA,470,1049N,ELGETA,,022945W
431234N,GIPUZKOA,119,1050J,ELGOIBAR,08036,022448W
431902N,GIPUZKOA,150,1052A,MUTRIKU,,022350W
432237N,BIZKAIA,12,1055B,LEKEITIO,08024,023037W
432033N,BIZKAIA,45,1056K,FORUA,,024016W
432714N,BIZKAIA,93,1057B,MATXITXAKO,,024510W
432230N,BIZKAIA,90,1059X,PUNTA GALEA,08059,030118W
430301N,ARABA/ALAVA,240,1060X,AMURRIO,,030020W
430544N,BIZKAIA,270,1064L,"OROZKO, IBARRA",,025137W
430557N,BIZKAIA,747,1069Y,"ABADIÑO, URKIOLA",,023839W
431210N,BIZKAIA,100,1074C,AMOREBIETA-ETXANO,,024222W
431050N,BIZKAIA,210,1078C,BALMASEDA,,031235W
431212N,BIZKAIA,208,1078I,GÜEÑES,08035,030617W
431753N,BIZKAIA,42,1082,BILBAO AEROPUERTO,08025,025423W
431647N,BIZKAIA,177,1083B,SOPUERTA,,031007W
432341N,CANTABRIA,45,1083L,CASTRO URDIALES,08020,031402W
431521N,CANTABRIA,80,1089U,RAMALES DE LA VICTORIA,,032815W
432348N,CANTABRIA,1,1096X,"BARCENA DE CICERO, TRETO",,032811W
431339N,CANTABRIA,849,1103X,SAN ROQUE DE RIOMIERA,,034316W
432526N,CANTABRIA,3,1109,SANTANDER AEROPUERTO,08021,034932W
432543N,CANTABRIA,3,1109X,SANTANDER AEROPUERTO,08021,034953W
432754N,CANTABRIA,64,1110,"SANTANDER, CIUDAD",,034908W
432928N,CANTABRIA,52,1111,SANTANDER,08023,034802W
432928N,CANTABRIA,51,1111X,SANTANDER,08023,034802W
431444N,CANTABRIA,196,1124E,VILLACARRIEDO,,035058W
430849N,CANTABRIA,460,1135C,"LOS TOJOS, BÁRCENA MAYOR",,041251W
431619N,CANTABRIA,105,1152C,SAN FELICES DE BUELNA,,040255W
432131N,CANTABRIA,110,1154H,"TORRELAVEGA, SIERRAPANDO",,040139W
432336N,CANTABRIA,38,1159,SAN VICENTE DE LA BARQUERA,08017,042332W
430838N,CANTABRIA,1100,1167B,"CAMALEÑO, FUENTE DE",,044846W
430918N,CANTABRIA,1910,1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",,044811W
430521N,CANTABRIA,1722,1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",,044626W
431058N,CANTABRIA,251,1174I,"CILLÓRIGO DE LIÉBANA, TAMA",,043606W
431521N,CANTABRIA,940,1176A,TRESVISO,,044006W
431415N,ASTURIAS,1236,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",,044412W
430843N,LEON,953,1178Y,"POSADA DE VALDEÓN, SOTO ",,045554W
431840N,ASTURIAS,458,1179B,CABRALES,,045110W
432513N,ASTURIAS,10,1183X,LLANES,08016,044453W
431600N,ASTURIAS,370,1186P,"AMIEVA, PANIZALES",,050709W
432240N,ASTURIAS,280,1199X,"PILOÑA, BARGAÉU",,052348W
432933N,ASTURIAS,30,1203D,COLUNGA,,051450W
433123N,ASTURIAS,26,1207U,"GIJÓN, CAMPUS",08065,053716W
433220N,ASTURIAS,3,1208,GIJÓN,,053815W
433230N,ASTURIAS,22,1208A,GIJÓN. LA MERCED,,053943W
433336N,ASTURIAS,5,1208H,"GIJÓN, PUERTO",08014,054203W
433921N,ASTURIAS,100,1210X,CABO PEÑAS,08012,055055W
433401N,ASTURIAS,127,1212E,ASTURIAS AEROPUERTO,08011,060239W
425843N,ASTURIAS,1480,1221D,PAJARES-VALGRANDE,08031,054635W
430758N,ASTURIAS,370,1223P,"LENA, RONZÓN",,054922W
430543N,ASTURIAS,750,1226X,"ALLER, FELECHOSA",,052837W
431630N,ASTURIAS,170,1234P,"MIERES, BAIÑA",,054909W
432112N,ASTURIAS,336,1249I,OVIEDO,08015,055227W
432112N,ASTURIAS,334,1249X,OVIEDO,08015,055227W
431725N,ASTURIAS,280,1272B,"TINEO, SOUTU",,062312W
430600N,ASTURIAS,670,1276F,POLA DE SOMIEDO,,061525W
432530N,ASTURIAS,240,1279X,"SALAS, CAMUÑO",,061351W
433409N,ASTURIAS,60,1283U,CABO BUSTO,08010,062812W
424607N,LUGO,1020,1297E,CERVANTES,,070103W
425719N,ASTURIAS,1310,1302F,DEGAÑA,,062821W
430139N,ASTURIAS,780,1309C,"IBIAS, SAN ANTOLIN",,065306W
432756N,ASTURIAS,410,1327A,"VILLAYÓN, ONETA",,064024W
433129N,ASTURIAS,40,1331A,CASTROPOL,08009,070153W
432456N,ASTURIAS,340,1341B,"TARAMUNDI, OURIA",,070340W
433226N,LUGO,43,1342X,RIBADEO,,070459W
432553N,LUGO,125,1344X,MONDOÑEDO,,072142W
433904N,LUGO,80,1347T,BURELA,,072126W
434710N,A CORUÑA,90,1351,ESTACA DE BARES,08004,074106W
432835N,A CORUÑA,4,1354C,FERROL,08005,081533W
432646N,A CORUÑA,343,1363X,AS PONTES,,075141W
432157N,A CORUÑA,57,1387,A CORUÑA,08001,082517W
432148N,A CORUÑA,132,1387D,A CORUÑA BENS,08000,082631W
